Train step=100, Max Q=3.0967721939086914, Max target Q=4.839496612548828, Loss = 0.7802329063415527
Train step=200, Max Q=3.9290847778320312, Max target Q=4.658071041107178, Loss = 0.7708334922790527
Train step=300, Max Q=3.6694743633270264, Max target Q=4.4144439697265625, Loss = 0.7458351850509644
Train step=400, Max Q=3.88283109664917, Max target Q=4.44865608215332, Loss = 0.7205843925476074
Train step=100, Max Q=2.841312885284424, Max target Q=2.9307308197021484, Loss = 0.5709495544433594, Mean f_diff=0.2314390242099762, Mean pseudo-reward=0.28638070821762085
Train step=2600, Max Q=2.9433884620666504, Max target Q=2.909083604812622, Loss = 0.27598822116851807, Mean f_diff=0.32669126987457275, Mean pseudo-reward=0.41652804613113403
Train step=2700, Max Q=3.106672763824463, Max target Q=2.9836196899414062, Loss = 0.33038967847824097, Mean f_diff=0.36565321683883667, Mean pseudo-reward=0.4508153796195984
Train step=2800, Max Q=2.812391519546509, Max target Q=2.7842507362365723, Loss = 0.34247204661369324, Mean f_diff=0.2888241708278656, Mean pseudo-reward=0.3730478584766388
Train step=2900, Max Q=2.85933256149292, Max target Q=2.8689887523651123, Loss = 0.27768585085868835, Mean f_diff=0.2687249183654785, Mean pseudo-reward=0.3513284921646118
Train step=3000, Max Q=3.231917142868042, Max target Q=3.0500521659851074, Loss = 0.28806358575820923, Mean f_diff=0.25715118646621704, Mean pseudo-reward=0.33333754539489746
Train step=3100, Max Q=3.430877923965454, Max target Q=3.191908597946167, Loss = 0.2824915945529938, Mean f_diff=0.31528961658477783, Mean pseudo-reward=0.3794156312942505
Train step=3200, Max Q=3.2978475093841553, Max target Q=3.4934895038604736, Loss = 0.34586280584335327, Mean f_diff=0.3649463355541229, Mean pseudo-reward=0.45802053809165955
Train step=3300, Max Q=3.252207040786743, Max target Q=3.313671588897705, Loss = 0.2951904535293579, Mean f_diff=0.2587658762931824, Mean pseudo-reward=0.3130883574485779
Train step=3400, Max Q=3.1911706924438477, Max target Q=3.301332473754883, Loss = 0.33777549862861633, Mean f_diff=0.28856927156448364, Mean pseudo-reward=0.3537481725215912
Train step=3500, Max Q=3.04911732673645, Max target Q=3.3045785427093506, Loss = 0.26390641927719116, Mean f_diff=0.30033332109451294, Mean pseudo-reward=0.38699227571487427
Train step=3600, Max Q=3.1688802242279053, Max target Q=3.437922477722168, Loss = 0.41918283700942993, Mean f_diff=0.460595965385437, Mean pseudo-reward=0.5724356770515442
Train step=3700, Max Q=3.0022778511047363, Max target Q=3.0158638954162598, Loss = 0.31211698055267334, Mean f_diff=0.2861618995666504, Mean pseudo-reward=0.35056889057159424
Train step=3800, Max Q=3.655756950378418, Max target Q=3.453803777694702, Loss = 0.33756792545318604, Mean f_diff=0.2913043797016144, Mean pseudo-reward=0.35710638761520386
Train step=3900, Max Q=3.170862913131714, Max target Q=3.3627750873565674, Loss = 0.2993069291114807, Mean f_diff=0.16688910126686096, Mean pseudo-reward=0.22965668141841888
Train step=4000, Max Q=3.087472915649414, Max target Q=3.5120890140533447, Loss = 0.29099738597869873, Mean f_diff=0.36986321210861206, Mean pseudo-reward=0.44179201126098633
Train step=4100, Max Q=4.086584091186523, Max target Q=3.9643990993499756, Loss = 0.3147228956222534, Mean f_diff=0.3568744361400604, Mean pseudo-reward=0.4381906986236572
Train step=4200, Max Q=3.6328563690185547, Max target Q=3.2948479652404785, Loss = 0.3128637671470642, Mean f_diff=0.32786667346954346, Mean pseudo-reward=0.4014083743095398
Train step=4300, Max Q=4.637542247772217, Max target Q=3.9815425872802734, Loss = 0.3206615447998047, Mean f_diff=0.3679523766040802, Mean pseudo-reward=0.4819466173648834
Train step=4400, Max Q=4.228728294372559, Max target Q=3.777264356613159, Loss = 0.351226270198822, Mean f_diff=0.3486989438533783, Mean pseudo-reward=0.4329747259616852
Train step=4500, Max Q=3.682788610458374, Max target Q=3.9292545318603516, Loss = 0.28811317682266235, Mean f_diff=0.280978262424469, Mean pseudo-reward=0.36801856756210327
Train step=4600, Max Q=4.2872209548950195, Max target Q=4.388423919677734, Loss = 0.3961567282676697, Mean f_diff=0.30964916944503784, Mean pseudo-reward=0.4101836681365967
Train step=4700, Max Q=5.109276294708252, Max target Q=3.7895939350128174, Loss = 0.2863251566886902, Mean f_diff=0.32715845108032227, Mean pseudo-reward=0.412100225687027
Train step=4800, Max Q=3.8626279830932617, Max target Q=4.520319938659668, Loss = 0.33690381050109863, Mean f_diff=0.27289873361587524, Mean pseudo-reward=0.34826886653900146
Train step=4900, Max Q=3.18520450592041, Max target Q=4.262106418609619, Loss = 0.280958890914917, Mean f_diff=0.23476435244083405, Mean pseudo-reward=0.3109399080276489
Train step=5000, Max Q=3.909334182739258, Max target Q=4.415307521820068, Loss = 0.2510204017162323, Mean f_diff=0.21435987949371338, Mean pseudo-reward=0.2705717086791992
Train step=5100, Max Q=3.702932596206665, Max target Q=4.8847479820251465, Loss = 0.3235933184623718, Mean f_diff=0.32380977272987366, Mean pseudo-reward=0.40227076411247253
Train step=5200, Max Q=5.62648868560791, Max target Q=3.9889447689056396, Loss = 0.3523460924625397, Mean f_diff=0.35364586114883423, Mean pseudo-reward=0.46729975938796997
Train step=5300, Max Q=4.773382663726807, Max target Q=5.245089530944824, Loss = 0.2812259793281555, Mean f_diff=0.27483105659484863, Mean pseudo-reward=0.33645132184028625
Train step=5400, Max Q=5.62247371673584, Max target Q=5.578493118286133, Loss = 0.33822739124298096, Mean f_diff=0.38546571135520935, Mean pseudo-reward=0.48274266719818115
Train step=5500, Max Q=3.0371134281158447, Max target Q=4.822747230529785, Loss = 0.2960308790206909, Mean f_diff=0.24960966408252716, Mean pseudo-reward=0.31750738620758057
Train step=5600, Max Q=5.280681133270264, Max target Q=4.071336269378662, Loss = 0.2888210713863373, Mean f_diff=0.2690034508705139, Mean pseudo-reward=0.3495345413684845
Train step=5700, Max Q=5.133868217468262, Max target Q=3.978984832763672, Loss = 0.35357657074928284, Mean f_diff=0.3706291615962982, Mean pseudo-reward=0.4748271107673645
Train step=5800, Max Q=4.637212753295898, Max target Q=5.183629035949707, Loss = 0.27099084854125977, Mean f_diff=0.204537034034729, Mean pseudo-reward=0.2903565764427185
Train step=5900, Max Q=3.9230103492736816, Max target Q=3.5135672092437744, Loss = 0.31760069727897644, Mean f_diff=0.29682058095932007, Mean pseudo-reward=0.36999642848968506
Train step=6000, Max Q=4.174654006958008, Max target Q=3.994248390197754, Loss = 0.27116215229034424, Mean f_diff=0.26910218596458435, Mean pseudo-reward=0.35537129640579224
Train step=6100, Max Q=4.439643383026123, Max target Q=4.377289295196533, Loss = 0.23601466417312622, Mean f_diff=0.21635445952415466, Mean pseudo-reward=0.2737954556941986
Train step=6200, Max Q=7.375057220458984, Max target Q=4.203023433685303, Loss = 0.3479750454425812, Mean f_diff=0.33231908082962036, Mean pseudo-reward=0.4254511594772339
Train step=6300, Max Q=4.367497444152832, Max target Q=5.597750186920166, Loss = 0.3011970520019531, Mean f_diff=0.2787054777145386, Mean pseudo-reward=0.34891998767852783
Train step=6400, Max Q=3.858503580093384, Max target Q=6.436833381652832, Loss = 0.3062572479248047, Mean f_diff=0.25396764278411865, Mean pseudo-reward=0.3188793659210205
Train step=6500, Max Q=3.9226160049438477, Max target Q=5.560751914978027, Loss = 0.23331817984580994, Mean f_diff=0.20670627057552338, Mean pseudo-reward=0.2752838730812073
Train step=6600, Max Q=4.410111427307129, Max target Q=6.633203029632568, Loss = 0.26319509744644165, Mean f_diff=0.29372262954711914, Mean pseudo-reward=0.3806406259536743
Train step=6700, Max Q=5.930665016174316, Max target Q=6.274255752563477, Loss = 0.2803809344768524, Mean f_diff=0.21901844441890717, Mean pseudo-reward=0.305144727230072
Train step=6800, Max Q=5.236263751983643, Max target Q=5.887142181396484, Loss = 0.3488619923591614, Mean f_diff=0.23962542414665222, Mean pseudo-reward=0.3037284016609192
Train step=6900, Max Q=6.196036338806152, Max target Q=6.775970935821533, Loss = 0.32074594497680664, Mean f_diff=0.29849883913993835, Mean pseudo-reward=0.38631871342658997
Train step=7000, Max Q=4.408705711364746, Max target Q=6.948800563812256, Loss = 0.23589636385440826, Mean f_diff=0.18423494696617126, Mean pseudo-reward=0.2684421241283417
Train step=7100, Max Q=7.160764694213867, Max target Q=7.113218784332275, Loss = 0.32533809542655945, Mean f_diff=0.31270402669906616, Mean pseudo-reward=0.38889074325561523
Train step=7200, Max Q=6.161689758300781, Max target Q=7.941976547241211, Loss = 0.36219125986099243, Mean f_diff=0.3119715750217438, Mean pseudo-reward=0.39916151762008667
Train step=7300, Max Q=8.542025566101074, Max target Q=4.141530513763428, Loss = 0.2739630937576294, Mean f_diff=0.2727211117744446, Mean pseudo-reward=0.37182116508483887
Train step=7400, Max Q=5.488772869110107, Max target Q=4.078976631164551, Loss = 0.2888864278793335, Mean f_diff=0.2415476143360138, Mean pseudo-reward=0.3123386800289154
Train step=7500, Max Q=5.780489921569824, Max target Q=4.923613548278809, Loss = 0.3332330286502838, Mean f_diff=0.27976280450820923, Mean pseudo-reward=0.3603174686431885
Train step=7600, Max Q=5.691587448120117, Max target Q=7.123726844787598, Loss = 0.3681609034538269, Mean f_diff=0.34460192918777466, Mean pseudo-reward=0.42712560296058655
Train step=7700, Max Q=4.380058765411377, Max target Q=4.374156475067139, Loss = 0.33520424365997314, Mean f_diff=0.32065778970718384, Mean pseudo-reward=0.39716649055480957
Train step=7800, Max Q=8.401591300964355, Max target Q=7.018280982971191, Loss = 0.3455301821231842, Mean f_diff=0.30284443497657776, Mean pseudo-reward=0.3910791277885437
Train step=7900, Max Q=3.2470850944519043, Max target Q=5.993845462799072, Loss = 0.2166493535041809, Mean f_diff=0.2641133964061737, Mean pseudo-reward=0.32407116889953613
Train step=8000, Max Q=4.828362941741943, Max target Q=6.673657417297363, Loss = 0.2665668725967407, Mean f_diff=0.30402514338493347, Mean pseudo-reward=0.3786376714706421
Train step=8100, Max Q=6.002870082855225, Max target Q=9.731291770935059, Loss = 0.28562062978744507, Mean f_diff=0.2683458924293518, Mean pseudo-reward=0.3461992144584656
Train step=8200, Max Q=9.606834411621094, Max target Q=8.18663215637207, Loss = 0.3322725296020508, Mean f_diff=0.33732926845550537, Mean pseudo-reward=0.44575613737106323
Train step=8300, Max Q=7.329729080200195, Max target Q=7.25054407119751, Loss = 0.3472916781902313, Mean f_diff=0.26295608282089233, Mean pseudo-reward=0.3254895508289337
Train step=8400, Max Q=4.797313213348389, Max target Q=4.278968334197998, Loss = 0.28192996978759766, Mean f_diff=0.21642613410949707, Mean pseudo-reward=0.2813851237297058
Train step=8500, Max Q=9.679052352905273, Max target Q=7.4028754234313965, Loss = 0.4309573769569397, Mean f_diff=0.3239439129829407, Mean pseudo-reward=0.4094657301902771
Train step=8600, Max Q=7.369574069976807, Max target Q=4.5477519035339355, Loss = 0.27169108390808105, Mean f_diff=0.22586408257484436, Mean pseudo-reward=0.30872780084609985
Train step=8700, Max Q=4.584501266479492, Max target Q=4.697352886199951, Loss = 0.36021488904953003, Mean f_diff=0.31205064058303833, Mean pseudo-reward=0.3903166651725769
Train step=8800, Max Q=6.371379375457764, Max target Q=3.785438299179077, Loss = 0.308414489030838, Mean f_diff=0.28394943475723267, Mean pseudo-reward=0.36522340774536133
Train step=8900, Max Q=7.315506935119629, Max target Q=5.0661444664001465, Loss = 0.2850033640861511, Mean f_diff=0.2939947843551636, Mean pseudo-reward=0.370832622051239
Train step=9000, Max Q=8.646005630493164, Max target Q=5.121456146240234, Loss = 0.26424479484558105, Mean f_diff=0.26100122928619385, Mean pseudo-reward=0.35711145401000977
Train step=9100, Max Q=5.061469554901123, Max target Q=10.253037452697754, Loss = 0.33570829033851624, Mean f_diff=0.23454082012176514, Mean pseudo-reward=0.29413890838623047
Train step=9200, Max Q=8.837711334228516, Max target Q=11.15201473236084, Loss = 0.35109537839889526, Mean f_diff=0.359403133392334, Mean pseudo-reward=0.44367021322250366
Train step=9300, Max Q=5.748834133148193, Max target Q=7.513342380523682, Loss = 0.3775137960910797, Mean f_diff=0.30574357509613037, Mean pseudo-reward=0.39414238929748535
Train step=9400, Max Q=4.582888126373291, Max target Q=9.304627418518066, Loss = 0.2947809398174286, Mean f_diff=0.24113403260707855, Mean pseudo-reward=0.3137550950050354
Train step=9500, Max Q=7.840232849121094, Max target Q=5.444712162017822, Loss = 0.32434773445129395, Mean f_diff=0.22493544220924377, Mean pseudo-reward=0.2841240167617798
Train step=9600, Max Q=10.861924171447754, Max target Q=12.553291320800781, Loss = 0.29510000348091125, Mean f_diff=0.23271659016609192, Mean pseudo-reward=0.29547157883644104
Train step=9700, Max Q=4.665423393249512, Max target Q=7.824058532714844, Loss = 0.3173096179962158, Mean f_diff=0.2944318950176239, Mean pseudo-reward=0.35275840759277344
Train step=9800, Max Q=3.8082497119903564, Max target Q=6.358450412750244, Loss = 0.23085013031959534, Mean f_diff=0.23891137540340424, Mean pseudo-reward=0.3039216995239258
Train step=9900, Max Q=7.94223165512085, Max target Q=4.609419345855713, Loss = 0.3150818347930908, Mean f_diff=0.2970874607563019, Mean pseudo-reward=0.40805134177207947
Train step=10000, Max Q=13.549575805664062, Max target Q=7.764188289642334, Loss = 0.3735237121582031, Mean f_diff=0.34550851583480835, Mean pseudo-reward=0.4515749216079712
Train step=10100, Max Q=5.098251819610596, Max target Q=5.570108413696289, Loss = 0.29482749104499817, Mean f_diff=0.3465155065059662, Mean pseudo-reward=0.4314503073692322
Train step=10200, Max Q=6.5285186767578125, Max target Q=5.903898239135742, Loss = 0.3532883822917938, Mean f_diff=0.329379677772522, Mean pseudo-reward=0.4292578101158142
Train step=10300, Max Q=7.267292499542236, Max target Q=8.234699249267578, Loss = 0.4091934859752655, Mean f_diff=0.36475926637649536, Mean pseudo-reward=0.4602692127227783
Train step=10400, Max Q=4.005348205566406, Max target Q=7.652603626251221, Loss = 0.2765340805053711, Mean f_diff=0.28790804743766785, Mean pseudo-reward=0.3406798243522644
Train step=10500, Max Q=8.882718086242676, Max target Q=5.782567024230957, Loss = 0.21260464191436768, Mean f_diff=0.2237200140953064, Mean pseudo-reward=0.30794352293014526
Train step=10600, Max Q=8.913727760314941, Max target Q=8.346254348754883, Loss = 0.31008782982826233, Mean f_diff=0.2819484770298004, Mean pseudo-reward=0.36472654342651367
Train step=10700, Max Q=7.009415626525879, Max target Q=7.770898342132568, Loss = 0.29154640436172485, Mean f_diff=0.25735610723495483, Mean pseudo-reward=0.33502835035324097
Train step=10800, Max Q=6.837608337402344, Max target Q=6.9897871017456055, Loss = 0.30954980850219727, Mean f_diff=0.2870919108390808, Mean pseudo-reward=0.3739675283432007
Train step=10900, Max Q=6.283324241638184, Max target Q=5.525042533874512, Loss = 0.2776761054992676, Mean f_diff=0.2974786162376404, Mean pseudo-reward=0.3627837598323822
Train step=11000, Max Q=5.6310715675354, Max target Q=6.2087554931640625, Loss = 0.2672281265258789, Mean f_diff=0.28652381896972656, Mean pseudo-reward=0.36107325553894043
Train step=11100, Max Q=6.92344331741333, Max target Q=5.375120162963867, Loss = 0.2702421247959137, Mean f_diff=0.2715006470680237, Mean pseudo-reward=0.34732311964035034
Train step=11200, Max Q=5.388119697570801, Max target Q=9.423797607421875, Loss = 0.351670503616333, Mean f_diff=0.2506849765777588, Mean pseudo-reward=0.31135159730911255
Train step=11300, Max Q=8.046003341674805, Max target Q=5.094505786895752, Loss = 0.28842246532440186, Mean f_diff=0.2862500250339508, Mean pseudo-reward=0.35889261960983276
Train step=11400, Max Q=4.909226417541504, Max target Q=8.84481143951416, Loss = 0.40146732330322266, Mean f_diff=0.34445250034332275, Mean pseudo-reward=0.42068660259246826
Train step=11500, Max Q=6.22795295715332, Max target Q=6.906453609466553, Loss = 0.26546770334243774, Mean f_diff=0.26542767882347107, Mean pseudo-reward=0.33861029148101807
Train step=11600, Max Q=5.804093837738037, Max target Q=6.47615385055542, Loss = 0.3184417188167572, Mean f_diff=0.27725139260292053, Mean pseudo-reward=0.3569534718990326
Train step=11700, Max Q=7.7408246994018555, Max target Q=7.386327743530273, Loss = 0.34080782532691956, Mean f_diff=0.3174295723438263, Mean pseudo-reward=0.40176647901535034
Train step=11800, Max Q=9.542990684509277, Max target Q=11.043781280517578, Loss = 0.4437747001647949, Mean f_diff=0.3055092394351959, Mean pseudo-reward=0.40057599544525146
Train step=11900, Max Q=7.752164363861084, Max target Q=10.505916595458984, Loss = 0.28008103370666504, Mean f_diff=0.27821215987205505, Mean pseudo-reward=0.3671379089355469
Train step=12000, Max Q=6.510359287261963, Max target Q=8.202896118164062, Loss = 0.27719390392303467, Mean f_diff=0.30218520760536194, Mean pseudo-reward=0.4057111144065857
Train step=12100, Max Q=9.191519737243652, Max target Q=6.164845943450928, Loss = 0.3354301154613495, Mean f_diff=0.3506433367729187, Mean pseudo-reward=0.4311063289642334
Train step=12200, Max Q=9.558293342590332, Max target Q=6.070363521575928, Loss = 0.2896685004234314, Mean f_diff=0.2657724618911743, Mean pseudo-reward=0.374341756105423
Train step=12300, Max Q=6.8966827392578125, Max target Q=7.532713413238525, Loss = 0.35413751006126404, Mean f_diff=0.34824472665786743, Mean pseudo-reward=0.4369158446788788
Train step=12400, Max Q=9.304370880126953, Max target Q=7.796227931976318, Loss = 0.29705071449279785, Mean f_diff=0.2573845088481903, Mean pseudo-reward=0.3388788104057312
Train step=12500, Max Q=7.156027317047119, Max target Q=9.774334907531738, Loss = 0.2789033055305481, Mean f_diff=0.20709069073200226, Mean pseudo-reward=0.27309298515319824
Train step=12600, Max Q=9.025898933410645, Max target Q=7.705613613128662, Loss = 0.2598787248134613, Mean f_diff=0.33467674255371094, Mean pseudo-reward=0.4508797228336334
Train step=12700, Max Q=9.258265495300293, Max target Q=8.124712944030762, Loss = 0.20450308918952942, Mean f_diff=0.23020039498806, Mean pseudo-reward=0.3047039210796356
Train step=12800, Max Q=11.199216842651367, Max target Q=8.174956321716309, Loss = 0.329667866230011, Mean f_diff=0.26141786575317383, Mean pseudo-reward=0.34907978773117065
Train step=12900, Max Q=8.217794418334961, Max target Q=8.126075744628906, Loss = 0.325066477060318, Mean f_diff=0.32068923115730286, Mean pseudo-reward=0.4090404808521271
Train step=13000, Max Q=9.503676414489746, Max target Q=8.674967765808105, Loss = 0.3032767176628113, Mean f_diff=0.35407742857933044, Mean pseudo-reward=0.44900646805763245
Train step=13100, Max Q=7.3810954093933105, Max target Q=6.723326683044434, Loss = 0.3218533992767334, Mean f_diff=0.29642683267593384, Mean pseudo-reward=0.3740941882133484
Train step=13200, Max Q=8.1962890625, Max target Q=8.377443313598633, Loss = 0.3065124750137329, Mean f_diff=0.30965524911880493, Mean pseudo-reward=0.4148745834827423
Train step=13300, Max Q=9.468788146972656, Max target Q=6.907198429107666, Loss = 0.3840588927268982, Mean f_diff=0.3386270999908447, Mean pseudo-reward=0.40819087624549866
Train step=13400, Max Q=12.049147605895996, Max target Q=6.723326683044434, Loss = 0.35909831523895264, Mean f_diff=0.44257038831710815, Mean pseudo-reward=0.5697387456893921
Train step=13500, Max Q=6.7156524658203125, Max target Q=6.8797478675842285, Loss = 0.3110067844390869, Mean f_diff=0.2615206241607666, Mean pseudo-reward=0.3313523232936859
Train step=13600, Max Q=10.485284805297852, Max target Q=10.58267593383789, Loss = 0.25223207473754883, Mean f_diff=0.27993518114089966, Mean pseudo-reward=0.37684211134910583
Train step=13700, Max Q=8.020784378051758, Max target Q=7.5231709480285645, Loss = 0.314052551984787, Mean f_diff=0.2710318863391876, Mean pseudo-reward=0.34254810214042664
Train step=13800, Max Q=8.974754333496094, Max target Q=8.840229034423828, Loss = 0.3628230094909668, Mean f_diff=0.2826322913169861, Mean pseudo-reward=0.3724185824394226
Train step=13900, Max Q=7.623650550842285, Max target Q=8.764178276062012, Loss = 0.27797967195510864, Mean f_diff=0.2720012068748474, Mean pseudo-reward=0.3453695774078369
Train step=14000, Max Q=8.958192825317383, Max target Q=6.969618320465088, Loss = 0.2970229387283325, Mean f_diff=0.28827694058418274, Mean pseudo-reward=0.3654080033302307
Train step=14100, Max Q=6.5402350425720215, Max target Q=8.37508773803711, Loss = 0.32320958375930786, Mean f_diff=0.259457528591156, Mean pseudo-reward=0.33028721809387207
Train step=14200, Max Q=5.594598770141602, Max target Q=6.629849910736084, Loss = 0.2761852741241455, Mean f_diff=0.22390231490135193, Mean pseudo-reward=0.2922351360321045
Train step=14300, Max Q=10.528149604797363, Max target Q=9.695086479187012, Loss = 0.43428903818130493, Mean f_diff=0.3871799111366272, Mean pseudo-reward=0.48299404978752136
Train step=14400, Max Q=8.783236503601074, Max target Q=10.163932800292969, Loss = 0.3775574564933777, Mean f_diff=0.38364723324775696, Mean pseudo-reward=0.48375779390335083
