Train step=100, Max Q=3.976348876953125, Max target Q=4.310729503631592, Loss = 0.8798598647117615, Mean f_diff=0.3307298421859741, Mean pseudo-reward=0.3870353102684021
Train step=2800, Max Q=3.771207094192505, Max target Q=3.198807954788208, Loss = 0.3724712133407593, Mean f_diff=0.2879253625869751, Mean pseudo-reward=0.37018030881881714
Train step=2900, Max Q=3.9075846672058105, Max target Q=3.2253577709198, Loss = 0.3654880225658417, Mean f_diff=0.3462054431438446, Mean pseudo-reward=0.4469868540763855
Train step=3000, Max Q=3.625169277191162, Max target Q=3.2279434204101562, Loss = 0.3189193606376648, Mean f_diff=0.26901912689208984, Mean pseudo-reward=0.34519606828689575
Train step=3100, Max Q=3.7169806957244873, Max target Q=3.496609926223755, Loss = 0.3428614139556885, Mean f_diff=0.26856186985969543, Mean pseudo-reward=0.3521440625190735
Train step=3200, Max Q=3.27215313911438, Max target Q=3.4774153232574463, Loss = 0.4076104760169983, Mean f_diff=0.41435039043426514, Mean pseudo-reward=0.5226162672042847
Train step=3300, Max Q=4.35202693939209, Max target Q=3.1369733810424805, Loss = 0.2753421664237976, Mean f_diff=0.28443706035614014, Mean pseudo-reward=0.34962618350982666
Train step=3400, Max Q=3.6749041080474854, Max target Q=3.410203456878662, Loss = 0.23919157683849335, Mean f_diff=0.2838846743106842, Mean pseudo-reward=0.345974326133728
Train step=3500, Max Q=4.064324855804443, Max target Q=3.395090103149414, Loss = 0.3293120265007019, Mean f_diff=0.2953672409057617, Mean pseudo-reward=0.36767077445983887
Train step=3600, Max Q=3.654991388320923, Max target Q=3.7094810009002686, Loss = 0.3106263279914856, Mean f_diff=0.25918564200401306, Mean pseudo-reward=0.3510007858276367
Train step=3700, Max Q=3.760467290878296, Max target Q=3.7963614463806152, Loss = 0.3433420658111572, Mean f_diff=0.34869036078453064, Mean pseudo-reward=0.43084901571273804
Train step=3800, Max Q=4.1697468757629395, Max target Q=3.8893144130706787, Loss = 0.2875295579433441, Mean f_diff=0.24325619637966156, Mean pseudo-reward=0.30215370655059814
Train step=3900, Max Q=4.129723072052002, Max target Q=3.480011224746704, Loss = 0.3298342823982239, Mean f_diff=0.26176196336746216, Mean pseudo-reward=0.329365074634552
Train step=4000, Max Q=3.5715153217315674, Max target Q=4.087231636047363, Loss = 0.31765100359916687, Mean f_diff=0.2648146152496338, Mean pseudo-reward=0.3339797258377075
Train step=4100, Max Q=4.28182315826416, Max target Q=3.5065841674804688, Loss = 0.34270310401916504, Mean f_diff=0.33191758394241333, Mean pseudo-reward=0.43827927112579346
Train step=4200, Max Q=3.556457281112671, Max target Q=4.006385803222656, Loss = 0.35478079319000244, Mean f_diff=0.3117268681526184, Mean pseudo-reward=0.41550421714782715
Train step=4300, Max Q=4.29432487487793, Max target Q=3.8782567977905273, Loss = 0.28180554509162903, Mean f_diff=0.19795525074005127, Mean pseudo-reward=0.2752453088760376
Train step=4400, Max Q=3.8604259490966797, Max target Q=4.009486198425293, Loss = 0.3427842855453491, Mean f_diff=0.303986132144928, Mean pseudo-reward=0.3866947293281555
Train step=4500, Max Q=4.050861358642578, Max target Q=3.6805903911590576, Loss = 0.4014800786972046, Mean f_diff=0.3509445786476135, Mean pseudo-reward=0.46873053908348083
Train step=4600, Max Q=4.264127254486084, Max target Q=4.1565046310424805, Loss = 0.371415913105011, Mean f_diff=0.32251039147377014, Mean pseudo-reward=0.4132607579231262
Train step=4700, Max Q=5.182724475860596, Max target Q=4.538604736328125, Loss = 0.3509385585784912, Mean f_diff=0.2954498529434204, Mean pseudo-reward=0.37877410650253296
Train step=4800, Max Q=4.119256019592285, Max target Q=4.320326805114746, Loss = 0.3268495202064514, Mean f_diff=0.24641050398349762, Mean pseudo-reward=0.3275001645088196
Train step=4900, Max Q=4.064714431762695, Max target Q=4.269318580627441, Loss = 0.3303529918193817, Mean f_diff=0.2504388391971588, Mean pseudo-reward=0.32638147473335266
Train step=5000, Max Q=4.1835618019104, Max target Q=4.374248504638672, Loss = 0.29550695419311523, Mean f_diff=0.26732683181762695, Mean pseudo-reward=0.3500005602836609
Train step=5100, Max Q=6.481253623962402, Max target Q=5.986745834350586, Loss = 0.31712770462036133, Mean f_diff=0.21940508484840393, Mean pseudo-reward=0.3074798285961151
Train step=5200, Max Q=3.9015135765075684, Max target Q=4.922161102294922, Loss = 0.2880781888961792, Mean f_diff=0.22988498210906982, Mean pseudo-reward=0.30495572090148926
Train step=5300, Max Q=4.538980960845947, Max target Q=5.416646480560303, Loss = 0.2909122109413147, Mean f_diff=0.30392494797706604, Mean pseudo-reward=0.3804118037223816
Train step=5400, Max Q=7.731916904449463, Max target Q=6.716479778289795, Loss = 0.29347720742225647, Mean f_diff=0.26470810174942017, Mean pseudo-reward=0.34428292512893677
Train step=5500, Max Q=6.519371509552002, Max target Q=6.423116207122803, Loss = 0.3350111246109009, Mean f_diff=0.278851181268692, Mean pseudo-reward=0.36686837673187256
Train step=5600, Max Q=5.043086051940918, Max target Q=4.420130252838135, Loss = 0.250762015581131, Mean f_diff=0.2828865647315979, Mean pseudo-reward=0.338522732257843
Train step=5700, Max Q=4.402758598327637, Max target Q=4.554251194000244, Loss = 0.3411881923675537, Mean f_diff=0.352755069732666, Mean pseudo-reward=0.4554840922355652
Train step=5800, Max Q=8.867344856262207, Max target Q=7.686692714691162, Loss = 0.3559359312057495, Mean f_diff=0.341765820980072, Mean pseudo-reward=0.4462105631828308
Train step=5900, Max Q=4.455409526824951, Max target Q=4.24425745010376, Loss = 0.3688257336616516, Mean f_diff=0.3233477473258972, Mean pseudo-reward=0.4220786988735199
Train step=6000, Max Q=4.531940460205078, Max target Q=4.516351699829102, Loss = 0.24162989854812622, Mean f_diff=0.25084978342056274, Mean pseudo-reward=0.33331790566444397
Train step=6100, Max Q=4.928269386291504, Max target Q=5.6290082931518555, Loss = 0.3533233404159546, Mean f_diff=0.3070591390132904, Mean pseudo-reward=0.403036892414093
Train step=6200, Max Q=9.674436569213867, Max target Q=7.378884315490723, Loss = 0.24738004803657532, Mean f_diff=0.19484511017799377, Mean pseudo-reward=0.25499141216278076
Train step=6300, Max Q=7.737400054931641, Max target Q=8.845285415649414, Loss = 0.34008657932281494, Mean f_diff=0.3428981304168701, Mean pseudo-reward=0.4325921833515167
Train step=6400, Max Q=4.486542701721191, Max target Q=7.352036476135254, Loss = 0.3071751594543457, Mean f_diff=0.21193641424179077, Mean pseudo-reward=0.2816926836967468
Train step=6500, Max Q=12.784917831420898, Max target Q=9.032438278198242, Loss = 0.3091086149215698, Mean f_diff=0.32214921712875366, Mean pseudo-reward=0.3963351845741272
Train step=6600, Max Q=4.753169536590576, Max target Q=6.364218711853027, Loss = 0.26690059900283813, Mean f_diff=0.253823846578598, Mean pseudo-reward=0.3174649178981781
Train step=6700, Max Q=4.916250228881836, Max target Q=7.131970405578613, Loss = 0.3049358129501343, Mean f_diff=0.3308328688144684, Mean pseudo-reward=0.4353432357311249
Train step=6800, Max Q=6.101269245147705, Max target Q=7.49928092956543, Loss = 0.37792789936065674, Mean f_diff=0.37316226959228516, Mean pseudo-reward=0.47023075819015503
Train step=6900, Max Q=4.843280792236328, Max target Q=8.99654483795166, Loss = 0.2900388836860657, Mean f_diff=0.23499876260757446, Mean pseudo-reward=0.3068851828575134
Train step=7000, Max Q=5.317089080810547, Max target Q=5.843810558319092, Loss = 0.33436763286590576, Mean f_diff=0.25249606370925903, Mean pseudo-reward=0.3217150568962097
Train step=7100, Max Q=5.133683204650879, Max target Q=4.840473651885986, Loss = 0.29542550444602966, Mean f_diff=0.3170773983001709, Mean pseudo-reward=0.3902226984500885
Train step=7200, Max Q=14.058303833007812, Max target Q=12.035531044006348, Loss = 0.3713873624801636, Mean f_diff=0.22444620728492737, Mean pseudo-reward=0.3117200434207916
Train step=7300, Max Q=5.074932098388672, Max target Q=5.806303977966309, Loss = 0.38880613446235657, Mean f_diff=0.33796489238739014, Mean pseudo-reward=0.43548479676246643
Train step=7400, Max Q=8.532493591308594, Max target Q=7.508082866668701, Loss = 0.3402649760246277, Mean f_diff=0.3905009329319, Mean pseudo-reward=0.49947959184646606
Train step=7500, Max Q=5.429788112640381, Max target Q=5.370596885681152, Loss = 0.2902529835700989, Mean f_diff=0.236301988363266, Mean pseudo-reward=0.31177109479904175
Train step=7600, Max Q=6.251774311065674, Max target Q=9.979423522949219, Loss = 0.365459680557251, Mean f_diff=0.413369357585907, Mean pseudo-reward=0.5216918587684631
Train step=7700, Max Q=4.894334316253662, Max target Q=7.5918779373168945, Loss = 0.25085046887397766, Mean f_diff=0.24417899549007416, Mean pseudo-reward=0.29789629578590393
Train step=7800, Max Q=5.471759796142578, Max target Q=11.922724723815918, Loss = 0.3850630223751068, Mean f_diff=0.3855048418045044, Mean pseudo-reward=0.48369210958480835
Train step=7900, Max Q=5.581112384796143, Max target Q=5.069421291351318, Loss = 0.2915954887866974, Mean f_diff=0.3276784420013428, Mean pseudo-reward=0.42757031321525574
Train step=8000, Max Q=10.950820922851562, Max target Q=10.918330192565918, Loss = 0.25764086842536926, Mean f_diff=0.22885634005069733, Mean pseudo-reward=0.29193663597106934
Train step=8100, Max Q=4.457016468048096, Max target Q=4.593407154083252, Loss = 0.30562901496887207, Mean f_diff=0.2749498784542084, Mean pseudo-reward=0.34683895111083984
Train step=8200, Max Q=8.983925819396973, Max target Q=12.274420738220215, Loss = 0.3620319366455078, Mean f_diff=0.31585779786109924, Mean pseudo-reward=0.38658422231674194
Train step=8300, Max Q=8.237070083618164, Max target Q=6.295658588409424, Loss = 0.3476579189300537, Mean f_diff=0.27960941195487976, Mean pseudo-reward=0.3674177825450897
Train step=8400, Max Q=5.210143089294434, Max target Q=7.726015090942383, Loss = 0.2888492941856384, Mean f_diff=0.24606844782829285, Mean pseudo-reward=0.3150753974914551
Train step=8500, Max Q=5.187294960021973, Max target Q=6.703536033630371, Loss = 0.300983190536499, Mean f_diff=0.271109938621521, Mean pseudo-reward=0.34123778343200684
Train step=8600, Max Q=4.915444850921631, Max target Q=6.1628804206848145, Loss = 0.39986157417297363, Mean f_diff=0.2560223340988159, Mean pseudo-reward=0.3317049741744995
Train step=8700, Max Q=5.983116149902344, Max target Q=6.300854682922363, Loss = 0.41518378257751465, Mean f_diff=0.3524972200393677, Mean pseudo-reward=0.43753835558891296
Train step=8800, Max Q=7.246649265289307, Max target Q=11.144893646240234, Loss = 0.4396915137767792, Mean f_diff=0.33103346824645996, Mean pseudo-reward=0.42653897404670715
Train step=8900, Max Q=5.151213645935059, Max target Q=5.254130840301514, Loss = 0.3747977614402771, Mean f_diff=0.3111645579338074, Mean pseudo-reward=0.40524542331695557
Train step=9000, Max Q=10.825223922729492, Max target Q=11.424321174621582, Loss = 0.2664280831813812, Mean f_diff=0.2650884985923767, Mean pseudo-reward=0.3441317081451416
Train step=9100, Max Q=5.907632827758789, Max target Q=12.473617553710938, Loss = 0.29150521755218506, Mean f_diff=0.249457448720932, Mean pseudo-reward=0.31445902585983276
Train step=9200, Max Q=5.744102954864502, Max target Q=4.3843994140625, Loss = 0.2671106159687042, Mean f_diff=0.2794540524482727, Mean pseudo-reward=0.3690015971660614
Train step=9300, Max Q=5.540487766265869, Max target Q=5.511561870574951, Loss = 0.2853705883026123, Mean f_diff=0.35526400804519653, Mean pseudo-reward=0.4415455460548401
Train step=9400, Max Q=10.094317436218262, Max target Q=6.0696845054626465, Loss = 0.3592280149459839, Mean f_diff=0.36263221502304077, Mean pseudo-reward=0.4480225145816803
Train step=9500, Max Q=7.743319034576416, Max target Q=4.732601165771484, Loss = 0.3197482228279114, Mean f_diff=0.31731292605400085, Mean pseudo-reward=0.4016472101211548
Train step=9600, Max Q=11.726717948913574, Max target Q=10.687204360961914, Loss = 0.3018084764480591, Mean f_diff=0.21006536483764648, Mean pseudo-reward=0.2730620503425598
Train step=9700, Max Q=6.484524726867676, Max target Q=8.677051544189453, Loss = 0.357944130897522, Mean f_diff=0.34349653124809265, Mean pseudo-reward=0.4235256016254425
Train step=9800, Max Q=6.067930698394775, Max target Q=5.6255292892456055, Loss = 0.2784572243690491, Mean f_diff=0.1948947310447693, Mean pseudo-reward=0.2662869393825531
Train step=9900, Max Q=6.553368091583252, Max target Q=6.9125165939331055, Loss = 0.4654552638530731, Mean f_diff=0.35889962315559387, Mean pseudo-reward=0.47124046087265015
Train step=10000, Max Q=6.740494251251221, Max target Q=9.317790031433105, Loss = 0.36893728375434875, Mean f_diff=0.3547343611717224, Mean pseudo-reward=0.4458441734313965
Train step=10100, Max Q=8.009906768798828, Max target Q=5.119770050048828, Loss = 0.29994964599609375, Mean f_diff=0.28726810216903687, Mean pseudo-reward=0.36804884672164917
Train step=10200, Max Q=5.965296745300293, Max target Q=5.516051769256592, Loss = 0.2926623821258545, Mean f_diff=0.30269062519073486, Mean pseudo-reward=0.3886244595050812
Train step=10300, Max Q=6.527549743652344, Max target Q=8.025328636169434, Loss = 0.3577450215816498, Mean f_diff=0.2894383668899536, Mean pseudo-reward=0.36576059460639954
Train step=10400, Max Q=11.125616073608398, Max target Q=11.312039375305176, Loss = 0.3620084226131439, Mean f_diff=0.3066192865371704, Mean pseudo-reward=0.37715625762939453
Train step=10500, Max Q=6.581001281738281, Max target Q=5.799690246582031, Loss = 0.27981051802635193, Mean f_diff=0.2202925682067871, Mean pseudo-reward=0.28466594219207764
Train step=10600, Max Q=6.7653985023498535, Max target Q=6.326023578643799, Loss = 0.303921103477478, Mean f_diff=0.2819453477859497, Mean pseudo-reward=0.35571008920669556
Train step=10700, Max Q=6.142512321472168, Max target Q=6.121527671813965, Loss = 0.2942847013473511, Mean f_diff=0.25581157207489014, Mean pseudo-reward=0.3306037187576294
Train step=10800, Max Q=5.3074774742126465, Max target Q=12.493258476257324, Loss = 0.31180667877197266, Mean f_diff=0.2951856255531311, Mean pseudo-reward=0.36833998560905457
Train step=10900, Max Q=11.145012855529785, Max target Q=11.398205757141113, Loss = 0.3363375663757324, Mean f_diff=0.27231788635253906, Mean pseudo-reward=0.33792656660079956
Train step=11000, Max Q=6.044121742248535, Max target Q=5.68348503112793, Loss = 0.3279452919960022, Mean f_diff=0.24748045206069946, Mean pseudo-reward=0.326038658618927
Train step=11100, Max Q=6.556866645812988, Max target Q=6.949395656585693, Loss = 0.3311021327972412, Mean f_diff=0.3083716928958893, Mean pseudo-reward=0.3907897472381592
Train step=11200, Max Q=8.696375846862793, Max target Q=11.524282455444336, Loss = 0.3758046627044678, Mean f_diff=0.30646610260009766, Mean pseudo-reward=0.404998242855072
Train step=11300, Max Q=13.45787239074707, Max target Q=7.987531661987305, Loss = 0.35071736574172974, Mean f_diff=0.2670101523399353, Mean pseudo-reward=0.33234676718711853
Train step=11400, Max Q=9.131856918334961, Max target Q=8.780228614807129, Loss = 0.31056898832321167, Mean f_diff=0.2727378308773041, Mean pseudo-reward=0.3450873792171478
Train step=11500, Max Q=9.521894454956055, Max target Q=12.513101577758789, Loss = 0.23312297463417053, Mean f_diff=0.2000889629125595, Mean pseudo-reward=0.2684866189956665
Train step=11600, Max Q=7.389589786529541, Max target Q=6.901601791381836, Loss = 0.2952238917350769, Mean f_diff=0.2847217917442322, Mean pseudo-reward=0.35731297731399536
Train step=11700, Max Q=8.129938125610352, Max target Q=6.872693061828613, Loss = 0.2719826102256775, Mean f_diff=0.2550514340400696, Mean pseudo-reward=0.3379911780357361
Train step=11800, Max Q=9.960925102233887, Max target Q=8.488581657409668, Loss = 0.41761210560798645, Mean f_diff=0.2953322231769562, Mean pseudo-reward=0.37094712257385254
Train step=11900, Max Q=9.460687637329102, Max target Q=10.281867027282715, Loss = 0.37831178307533264, Mean f_diff=0.2911909818649292, Mean pseudo-reward=0.36146217584609985
Train step=12000, Max Q=8.14161491394043, Max target Q=7.679745674133301, Loss = 0.2924489974975586, Mean f_diff=0.3286277651786804, Mean pseudo-reward=0.43764495849609375
Train step=12100, Max Q=7.862922191619873, Max target Q=7.510105133056641, Loss = 0.268502801656723, Mean f_diff=0.31323862075805664, Mean pseudo-reward=0.4027683734893799
Train step=12200, Max Q=14.068039894104004, Max target Q=13.03174114227295, Loss = 0.36638689041137695, Mean f_diff=0.36999863386154175, Mean pseudo-reward=0.47753965854644775
Train step=12300, Max Q=7.944838523864746, Max target Q=8.267833709716797, Loss = 0.2805789113044739, Mean f_diff=0.27192428708076477, Mean pseudo-reward=0.3608607053756714
Train step=12400, Max Q=9.342428207397461, Max target Q=9.342826843261719, Loss = 0.35114598274230957, Mean f_diff=0.28110015392303467, Mean pseudo-reward=0.3669588565826416
Train step=12500, Max Q=13.569499015808105, Max target Q=15.726652145385742, Loss = 0.47171276807785034, Mean f_diff=0.35671618580818176, Mean pseudo-reward=0.4334178864955902
Train step=12600, Max Q=9.671072959899902, Max target Q=10.716466903686523, Loss = 0.3529908061027527, Mean f_diff=0.31703078746795654, Mean pseudo-reward=0.42524194717407227
Train step=12700, Max Q=7.857894420623779, Max target Q=15.687862396240234, Loss = 0.3397974371910095, Mean f_diff=0.29947370290756226, Mean pseudo-reward=0.3860428035259247
Train step=12800, Max Q=7.231449127197266, Max target Q=5.750396728515625, Loss = 0.36694782972335815, Mean f_diff=0.30694761872291565, Mean pseudo-reward=0.38041919469833374
Train step=12900, Max Q=13.340340614318848, Max target Q=11.402512550354004, Loss = 0.34766435623168945, Mean f_diff=0.2409128099679947, Mean pseudo-reward=0.31338292360305786
Train step=13000, Max Q=9.182577133178711, Max target Q=7.996047496795654, Loss = 0.28760409355163574, Mean f_diff=0.29943275451660156, Mean pseudo-reward=0.392374187707901
Train step=13100, Max Q=12.17794132232666, Max target Q=9.942054748535156, Loss = 0.33921122550964355, Mean f_diff=0.28521665930747986, Mean pseudo-reward=0.37374716997146606
Train step=13200, Max Q=11.4658784866333, Max target Q=11.041894912719727, Loss = 0.3142712116241455, Mean f_diff=0.21688878536224365, Mean pseudo-reward=0.29196834564208984
Train step=13300, Max Q=14.835334777832031, Max target Q=15.505328178405762, Loss = 0.3775902986526489, Mean f_diff=0.3431854248046875, Mean pseudo-reward=0.4308020770549774
Train step=13400, Max Q=13.275764465332031, Max target Q=15.819685935974121, Loss = 0.337801069021225, Mean f_diff=0.26437342166900635, Mean pseudo-reward=0.3377913236618042
Train step=13500, Max Q=9.555765151977539, Max target Q=9.942054748535156, Loss = 0.28103938698768616, Mean f_diff=0.2692880630493164, Mean pseudo-reward=0.3374283015727997
Train step=13600, Max Q=15.626432418823242, Max target Q=16.07067108154297, Loss = 0.4189033508300781, Mean f_diff=0.3106417953968048, Mean pseudo-reward=0.4065152406692505
Train step=13700, Max Q=14.164749145507812, Max target Q=16.50412940979004, Loss = 0.3487682640552521, Mean f_diff=0.32333338260650635, Mean pseudo-reward=0.4084065556526184
Train step=13800, Max Q=8.339191436767578, Max target Q=8.43879508972168, Loss = 0.26566579937934875, Mean f_diff=0.309420645236969, Mean pseudo-reward=0.3919956088066101
Train step=13900, Max Q=8.637407302856445, Max target Q=11.98481273651123, Loss = 0.38115859031677246, Mean f_diff=0.2976303696632385, Mean pseudo-reward=0.3829333782196045
Train step=14000, Max Q=13.857392311096191, Max target Q=15.28647518157959, Loss = 0.3247636556625366, Mean f_diff=0.3406893014907837, Mean pseudo-reward=0.41333961486816406
Train step=14100, Max Q=22.015443801879883, Max target Q=20.012897491455078, Loss = 0.3331679701805115, Mean f_diff=0.22723977267742157, Mean pseudo-reward=0.3052891492843628
Train step=14200, Max Q=10.575105667114258, Max target Q=8.962444305419922, Loss = 0.372580885887146, Mean f_diff=0.24966900050640106, Mean pseudo-reward=0.31850916147232056
Train step=14300, Max Q=21.37274169921875, Max target Q=22.201339721679688, Loss = 0.3709678649902344, Mean f_diff=0.30339425802230835, Mean pseudo-reward=0.3895914554595947
Train step=14400, Max Q=6.3747944831848145, Max target Q=13.658273696899414, Loss = 0.4061838984489441, Mean f_diff=0.353878915309906, Mean pseudo-reward=0.44580450654029846
